Pályázat témaköre,Thematic area,#,Azonosító,Pályázó szervezet neve,A pályázat címe,Project name,Settlement,Város,Project Promoter,Project name and number,Project Summary,Projekt összefoglaló,,Amount (EUR)
Közösség és szervezetfejlesztés (Makró),community and organizational development,111,NCTA-2013-4162-M2,Közösségfejlesztők Egyesülete,Közösségi szolgáltatás - közösségi működtetés kistelepüléseken,Community services - commnity based operation in small settlements,Budapest,Budapest,Hungarian Association for Community Development,HU05-0126 - Community services - commnity based operation in small settlements,"Civic organizations in general and especially in small settlements suffer of lack of resources and capacities. In addition, there is great demand for services offered by civic organizations or informal groups for local communities. Through community based operation, process evaluation, a free educational program and by restructuring the organization, the Community Developers Association serves the long term objectives of community development in Hungary. Target groups will learn to operate their organization and services on a community basis; local and professional networks will be built; the 3-level model of community development will be established in Hungary, new methodologies are to be developed and web pages renewed.","A projekt a kistelepüléseken működő, erősen forrás és kapacitáshiányos civil szervezetek és csoportok megerősítését tűzte ki célul. A fejlesztés során felkészítik a résztvevőket a közösségi alapú működésre és helyi szektorközi hálózatok építésére. Emellett az egyesület saját szervezetét és munkafolyamatait úgy alakítja át, hogy a továbbiakban szakmai-módszertani erőforrásközpontként működhessen. A bevonandó szervezeteket terepismerettel rendelkező partnerek segítségével választják ki egy közösen kidolgozott szempontrendszer, előzetes interjúk és egy házi feladat elkészítésének tapasztalatai alapján. Várt eredmények: 20, közösségi működ(tet)ésre képes szervezet (min. 3 roma), jó gyakorlat gyűjtemény, online tanulóprogram, aktualizált szakértői adatbázis, tagozati rendszer a Közösségfejlesztők Egyesületében (KÖFE) , közösségi folyamatok értékelésének módszertana, 20-25 értékelő szakember, 2 akadálymentes, informatív és interaktív honlap, hírlevél, szervezeti diagnózisok alapján kidolgozott és megvalósított fejlesztési tervek, lokális szektorközi hálózatok, új szervezeti erőforrások.",,€125 769
Közösség és szervezetfejlesztés (Makró),community and organizational development,120,NCTA-2013-4182-M2,Védegylet Egyesület,Katalizátorok helyben - kisközösségek átalakulásban,Local Catalysts - Small Communities in Transition,Budapest,Budapest,Protect the Future Society,HU05-0127 - Local Catalysts - Small Communities in Transition,"The political and economic situation causes instability in the local level. Protect the Future creates a support network to enable and strengthen cooperation and experience exchange between new Transition Communities, while realising concrete energy, local food and local economic developments; increase local cooperative skills; reduce poverty and the vulnerability of communities to social, economic and environmental shocks by promoting sustainable use of local resources. Target groups are the community developers, the disadvantaged and / or Roma communities, the rural, urban and eco-communities. Main outputs of the project: developing a Hungarian catalyst and transition community support network with input from Norwegian mentors; realising 15 local and 1 Trialog, cross-sector study visits from Norway; delivering 3 transition and 2 catalyst workshops, 15 hands-on activities in 15 communities; continuous mentoring; creating an event with 150 participants with cross-sector participation; publishing the Transition Practical Best Practice e-Tool Kit.","A helyi források jobb kihasználásával csökkenthető a társadalmi, gazdasági és környezeti behatásokkal szembeni sérülékenység. Az Átalakuló Közösségek támogatására a Védegylet egy támogatói hálózatot hív életre, mely lehetővé teszi és megerősíti az együttműködést és tapasztalatcserét az új Átalakuló Közösségek közt, addig amíg azok beindítják konkrét energetikai, helyi élelmiszer és helyi gazdasági fejlesztéseiket. A projekt elemei: Magyarországi katalizátor és átalakuló közösségek támogatói hálózatának kialakítása norvég mentor segítségével. 15 helyi és egy több szektoros, tanulmányút Norvégiából, 3 Átalakulás képzés, 2 katalizátor képzés, 15 konkrét fejlesztési projekt megvalósítása (pl.: közösségi kert, biobrikett program, adománybolt), folyamatos mentorálás, 150 fős interszektoriális esemény, egy Átalakulás jó-példák kézikönyv - kiadvány. Az eredmények növelik a (kis)közösségek tudatos részvételét a részvételi demokrácia megerősítésében és fejlesztésében. Létrejönnek továbbá olyan konkrét jó projektek melyeket a közösségek maguk kezdeményeztek, és tartanak fenn.",,€135 074
Közösség és szervezetfejlesztés (Makró),community and organizational development,117,NCTA-2013-4174-M2,Szegényeket Támogató Alap Egri Alapítványa,Észak-magyarországi Settlement Hálózat,"\"Settlement network in Northern Hungary"\",Eger,Eger,The Eger Foundation of the Fund to Support the Poor,"HU05-0130 - \"Settlement network in Northern Hungary"\","The project's main goal is to empower (especially Roma) people living in deep poverty building on the knowledge and experiences of SZETA, in a process which will strengthen their skills and provides them methods, tools so that they will be able to represent their interests and to organize their community. The participants will establish and maintain settlement houses, and they will improve their own situation indirectly. The target groups are the civic communities and NGOs which have disadvantaged (Roma) members who intend to improve the position of their own social group and that of the village. The project results will be achieved in two stages: the first part of the organizations involved (10) will be able to access external resources, maintain themselves and the settlement house by the 19th month of the project. The second lot of the organizations (7) will achieve these goals by the end of the project.","A program célja a mélyszegénységben élők (különös tekintettel a cigány emberekre) önszerveződésének, érdekképviseletének segítése, helyzetének javítása,a közösségszervezés segítségével. Ennek megalapozásához a részt vevő településeken egyesületi fenntartású settlementházakat hoznak létre és működtetnek a résztvevőkkel. A projekt részeként az egri SZETA összegzi azon ismereteit, tapasztalatait, amelyeket az elmúlt években gyűjtött össze a mélyszegénységben élők között végzett és settlement munkája során. Sor kerül ezek elemzésére, megírására, és megjelentetésére esettanulmány és módszertani segédanyag, és képzési tematika formájában. Az alapítvány részt vesz továbbá az egyesületi settlementházak helyi viszonyokhoz való adaptálásában, fejlesztésében. A fejlesztésben résztvevők Észak-Magyarország azon civil közösségei (17 db), amelyeknek tagjai hátrányos helyzetű (roma) emberek, és tevékenységeik saját társadalmi csoportjuk helyzetének javítására irányulnak. A szervezetek kapacitásbővítését szolgálják a következők: settlementház működtetésének-fenntartásának megtanulása, szervezetfejlesztések, képzések, a működő programok látogatása, a folyamatos egyéni mentori segítségnyújtás erőforrás fejlesztésükhöz. A szervezetek várhatóan a program 19-31. hónapja közt már képesek lesznek külső erőforrások megszerzésére, az egyesület és a settlementház fenntartására.",,€119 086
Női jogok és esélyegyenlőség,gender and equal opportunities,54,NCTA-2013-2847-B,Szexmunkások Érdekvédelmi Egyesülete,"Semmit rólunk, nélkülünk! - Társadalmi vita a szexmunkások esélyegyenlőségének javításáért",Inclusion of Sex workers - Nothing about us without us!,Budapest,Budapest,Association of Hungarian Sex Workers,HU05-0072 - Inclusion of Sex workers - Nothing about us without us!,"Sex workers are excluded from public debates on prostitution in Hungary and are not given opportunities to represent their interests and articulate their points of view to the public and decision makers. In policy discourses, the emphasis lies on trafficking, while discrimination, social stigma and the crime that sex workers face are not that highly prioritized. The project builds on UN CEDAW recommendations of strategic importance by supporting initiatives of the affected group that can change the public perception and start public debates that reflect sex workers’ perspectives. As an outcome a more inclusive professional and public debate on sex work will be built and decision makers and professionals become more willing to include sex workers in policy formulation. The outputs of the project will be a photo exhibition, conference, media coverage, impact assessment, trainings for sex workers, consultations with decision makers.","A prostitúcióról folyó vitából Magyarországon a szexmunkások ki vannak rekesztve, nem kéviselhetik érdekeiket. A szakmapolitikai párbeszédben a fő hangsúly az emberkereskedelmen van, míg a kirekesztés, szociális megbélyegzés és a kriminalizálás kérdései nem kapnak figyelmet. A projekt célja, hogy teret nyisson a marginalizált helyzetű szexmunkásoknak arra, hogy saját érdekeiket képviseljék és megalapozzák a jelenlegi stigmatizáló közgondolkozás megváltozását és igényeikre reflektáló széleskörű vitákat és közpolitika alkotást. A programban szexmunkás aktivistákat toboroznak, és képzik őket, portrésorozatot és kiállítást szerveznek, jogsegélyszolgálatot indítanak részükre. Emellett hatásvizsgálat készül a szabálysértési törvényről és egyeztetések kezdődnek a döntéshozás képviselőivel az ENSZ CEDAW Bizottságának ajánlásai alapján. Eredményként az várható, hogy a prostitúció körüli szakmai és társadalmi diskurzus inkluzívabbá válik, és a szexmunkások nézőpontjainak megismerése után a szakemberek, döntéshozók lehetővé teszik, hogy az érintettek is felszólaljanak. A prostitúciós jelenség újfajta tematizálása olyan új megközelítés meggyökerezését váltja ki elsősorban a médiában, mely az önként szexmunkát vállalókat nem áldozatként, hanem sorsáért felelősséget vállaló nőként mutatja be.",,€9 911
Női jogok és esélyegyenlőség,gender and equal opportunities,56,NCTA-2013-2903-B,Születésház Közhasznú Egyesület,Hátrányos helyzet - Nők a szülészeti ellátásban,Diversity in Maternity Care,Budapest,Budapest,Birth House Association,HU05-0071 - Diversity in Maternity Care,"The Hungarian maternity care system is very patriarchal where women are oppressed by the law. This results in discrimination and regular violence against them. Disadvantaged women suffer from a cumulative effect of the system. The project brings the issue of women’s birth rights to the light with a focus on disadvantaged women. The organization wants to highlight the needs of disadvantaged women, examine the system of care and work towards further research and networking. The project consists five one-day conferences and a round-table discussion followed by workshops. The organizaton will promote the one-to-one woman-centered care. Other activities are providing information and multimedia materials, generating media attention and report to the government. The target groups are disabled women, Roma women, women in difficult circumstances who had a C-section or experienced obstetric violence.","A Születésház projektje arra hívja fel a figyelmet, hogy miként nyomja el a medikalizált szülészeti ellátórendszer a nőket, figyelmen kívül hagyva az olyan speciális igényeket, amelyek valamilyen hátrányos helyzetben lévő csoporthoz való tartozásból erednek. Továbbá szeretnék beemelni a várandósgondozásról és szülésről folyó társadalmi diskurzusból hiányzó női csoportok problémáit, az indokolotlan császármetszések mellékhatásait (egészségügyi és gazdasági). A projektben szakmai koalíciók összekovácsolására vállalkoznak, kerekasztal beszélgetések és worshopok szervezésével, kommunikációs anyagok készítésével. Összegyűjtik a szakemberek tapasztalatait és terjesztik a várandósgondozás és szülészet területén dolgozó szakemberek, civilek, törvényhozók és érintett nők körében.",,€1 095
Női jogok és esélyegyenlőség,gender and equal opportunities,77,NCTA-2013-3187-B,Karbon Kör Egyesület,Férfiak a Nőkért,Men for Women,Komló,Komló,Carbon Cicle Club,HU05-0069 - Men for Women,"Two extremely violent crimes were committed against women in Pécs in the last 24 months that shocked the public. Main messages of the short film and poster campaign „Real men don’t hurt women, real men are not violent, rape and women maltreatment is a shame” should draw the attention of men and women to the fact that they can reduce and eventually stop violence, and help recognize and identify crime and violence. In the collective project photos and a short film will be made with the team members of PMFC Matias Futball Club (as icons) with the main message: non-violence and appreciation of women. With the campaign football fans will be addressed, furthermore several thousand people can be reached. A well-known football team can help making changes in the public thinking by reacting sensitively and peacefully to a problem which can create heavy emotions.","\"Az igazi férfi nem bánt nőt\" kampány célja, hogy felhívja a figyelmet arra, hogy a gondolkodásmód megváltoztatásával mennyire sokat tehetünk azért, hogy csökkenjen és idővel megszűnjön a nők elleni erőszak és általában az erőszak. A kampánnyal közvetlenül a focimeccsekre járó szurkolókat szólítják meg. A projekt része egy gender szemléletű képzés, melyen a kampányban főszerepet vállaló futballisták és a projektben dolgozók vesznek részt. Együttműködő partner a PMFC-MATIAS labdarúgó csapata, a HPT Consult Kft. és a Nő az Esély Egyesület.",,€8 615
Női jogok és esélyegyenlőség,gender and equal opportunities,4,NCTA-2013-0931-B,Drogprevenciós Munkacsoport,"Szabadság, egyenlőség, párkapcsolat - Egészségfejlesztő ifjúsági program a Pécsi kistérségben","Liberty, equality, relationship – youth health promotion program in Pécs and its outskirts",Pécs,Pécs,Drug Prevention Association,"HU05-0060 - Liberty, equality, relationship – youth health promotion program in Pécs and its outskirts","The main goal of the project is to reduce the incidence of teen prostitution and the related negative phenomena present more intensely in Pécs and its outskirts. For the sake of this goal the protective factors of the target group must be enhanced. The most endangered are youth arriving from different segregations of the county, running away from deep poverty. The organisation aims at preventing drifting into prostitution by creating a peer support team that could function as a role model and give help.","A pécsi projekt célja, hogy csökkentse a fiatalkori prostitúció és a kapcsolódó negatív jelenségek előfordulását (pl. emberkereskedelem, kizsákmányolás, problémás pszicho-aktív anyaghasználat, más mentálhigiénés problémák) valamint erősítse a veszélyeztetett fiatalokat védő tényezőket. A prostituáltak többségét a baranyai szegregátumokból érkező, mélyszegénység és kilátástalanság elől menekülő lányok teszik ki. Ezért kiemelten fontos a pécsi és Pécs környéki 8. osztályos iskolásokat veszélyeztető tényezők enyhítése és egy kortárssegítő csoport létrehozása, mely pozitív példát és támaszt adhat. A projektnek része a fiatalok nevelésével foglalkozó mentálhigiénés szakemberek képzése a témában.",,€9 597
Női jogok és esélyegyenlőség,gender and equal opportunities,89,NCTA-2013-3476-B,Családbarát Város Szociális Szövetkezet,Helló Anyu!,,Budapest,Budapest,Family Friendly City Social Cooperative,HU05-0073 - Hello Mum!,"The employment rate of women with children in Hungary is the lowest in Europe. There is an increasing demand, but little initiative for part-time jobs and children (part-time) daily care. While maternity leave is 2-3 years women easily become isolated and handicapped in their professional work and advancement. The project's goal is to re-socialise inner-Budapest mothers on maternity leave and empower them through improving their skills enabling their better labour-market reintegration. In the project an ecological, sustainable and family-friendly inner-city community place and café is created to foster communal initiatives. In the new place trainings, courses and personal consultations will be organized for mothers on maternity leave to strengthen their personality, increase their self-confidence and develop their professional skills. The employees will be part-time workers from the target group that promotes the family-friendly approach in professional life as well.","közvetlen célja egy belvárosi, maximálisan családbarát, napközben folyamatosan nyitva tartó kávézó és közösségi tér létrehozása. Ez a hely lehetőséget teremt a kisgyermekes édesanyáknak, hogy gyermekeikkel együtt jólérezzék magukat, találkozzanak hasonló helyzetű családokkal és felnőtteknek szóló programokon vegyenek részt. Tehát a kisbabás, kisgyermekes évek alatt nem kényszerülnek a négy fal közé, hanem rossz idő esetén, télen is szabadon (játszóházi óradíj vagy előzetes regisztráció nélkül) betérhetnek, szoptathatnak, pelenkázhatnak, kávézhatnak és beszélgethetnek, miközben gyermekeik számára is biztosított a koruknak megfelelő környezet és ellátás. Ezen felül a közösségi térben szabadidős, kulturális és kompetenciafejlesztő tanfolyamokat, programokat szerveznek a projekt megvalósítói. Közvetett cél a családbarát szemlélet terjesztése, valamint modellértékű, kizárólag atipikus foglalkoztatási formákat alkalmazó családbarát munkahely és munkakörnyezet kialakítása.",,€1 101
Női jogok és esélyegyenlőség,gender and equal opportunities,79,NCTA-2013-3234-B,Patent Patriarchátust Ellenzők Társasága Jogvédő Egyesület,Bíróságok monitorozása a párkapcsolati erőszakos esetek kezelésében (court watch),Court Watch of Intimate Partner Violence Cases,Budapest,Budapest,Patent Association Against Patriarchy,HU05-0070 - Court Watch of Intimate Partner Violence Cases,"In 2012-2013 several laws have been created in Hungary with the aim to penalize domestic and relationship violence. However, in practice very limited data is available on how courts handle cases involving relationship violence. Analyzing the impact of the laws is an important task, as it shapes general opinion and changes the attitude that blames the victim. The objective is to enable women victims to exercise their rights, to make court cases more open to the public and encourage public debates (court cases and decisions can be criticized). The used methods are data collection, encouraging victims and lawyers to scrutinize the work of state institutions and forging partnerships with courts. The project has direct impact on the monitored courts and raises awareness of intimate partner violence cases among judges. Court watch will function as a form of feedback to the courts, it will orient victims and strengthen their position.","A Patent Egyesület a bántalmazott nők jogainak érvényesülését segíti elő. Ehhez szisztematikusan adatot gyűjtenek arról, hogy a bíróságok hogyan kezelik a párkapcsolati erőszak ügyeit. Céljuk, hogy aktivizálják a párkapcsolati erőszak áldozatait és a jogászokat az állami szervek működésének vizsgálatára, továbbá partneri viszonyt szeretnének kialakítani bíróságokkal. A monitorozás adatait a megfigyelt bíróságok, megfigyelők és a Patent jogsegélyszolgálatának munkatársaival elemzik, erről kiadványt készítenk, és terjesztik.",,€9 547
Női jogok és esélyegyenlőség (Makró),gender and equal opportunities,109,NCTA-2013-4156-M1,Magyar Női Érdekérvényesítő Szövetség,Egységes női hang-egyenlően hallható?,United women’s voice-equally audible?,Budapest,Budapest,Hungarian Women's Lobby,HU05-0086 - United women’s voice-equally audible?,"The media is particularly important in social changes. Therefore this project focuses on the relation between women NGOs and the media. The project aims at strengthening the communication of gender NGOs with the media, so that they together create a gender sensitive media in Hungary. As a result of the project, an effective and active Gender Media Network will be created to maintain and monitor media communication. The target groups of the projects are HWL's members, new organisations, journalists, editors, members of disadvantaged groups. They will exchange experiences with W.O.M.E.N. in Iceland at the summer university of the organisation. CIJ assists the media part of the project. In cooperation with the Norwegian Union of Journalists the methodological aspect of the changes of the Norwegian media will be presented. Through the partnership the organisations will share experiences, good practices and learning possibilities.","A 3 évre szóló pályázat célja, hogy a nők és férfiak társadalmi egyenlősége, a nők elleni diszkrimináció témájában fejlessze és erősítse a nőszervezetek és a nők érdekképviseletével foglalkozó szakmai szervezetek külső és belső kommunikációját, ugyanakkor érzékenyítse a témára a magyar média képviselőit. A projektnek három célcsoportja van: a szövetség tagszervezete, más női szakmai szervezetek és csoportok, illetve a média képviselői. Minden esetben a különböző társadalmi kérdések gender tudatos kezelésének erősítése a cél.  Ennek elérésére a szervezők számos tevékenységet terveznek, például: stratégialkotást, kommunikációs tréninget, média tréninget, magyar esettanulmányokkal illusztrált gender média tankönyv kiadását, médiatréning tanmenet készítést, újságíróknak szóló gendertréninget, szerkesztők nemzetközi konferenciáját, cikkpályázat-ösztöndíjat, mentorprogramot újságírónőknek, civil-újságírói gender média háló kialakítását, s ennek éves média fórumát, női jogok fórumát és nyilvános vitákat.",,€108 437
Női jogok és esélyegyenlőség (Makró),gender and equal opportunities,119,NCTA-2013-4178-M1,Nők a Nőkért Együtt az Erőszak Ellen Egyesület,Közös erővel a bántalmazott nőkért és gyermekeikért - emberi jogi szervezetfejlesztés a PE-vel foglalkozó civil szférában,Together for battered women and children – Human Rights Based Empowerment of NGOs Providing Services and Advocacy for Victims of Violence Against Women,Budapest,Budapest,NANE Women's Rights Association,HU05-0091 - Together for battered women and children – Human Rights Based Empowerment of NGOs Providing Services and Advocacy for Victims of Violence Against Women,"It is more dangerous to be a battered woman in Hungary, than in most other European countries. Meanwhile the legislative process shows a lack of political will, reflecting on the hostile political environment in relation to women's human rights. Some recent international and national developments are likely to result in more victims coming forward and seek services, and in a need for coordinated advocacy for legislation. The project objectives are effective intervention and prevention regarding violence against women with capacity building related to know-how on supporting victims and advocating for a human rights-based approach in legislation. Methods are training, mentoring, supervision provided to NGOs, creation and dissemination of publications. Beneficiaries will be the women affected by violence and their children, while the target groups include NGOs providing services to battered women and their children, women's rights advocacy NGOs, NGOs working with young people, Roma women's NGOs.","A NANE Egyesület projektje a jog- és érdekérvényesítő szervezetek megerősítésére és fejlesztésére irányul, hogy azok minél hatékonyabban tudják ellátni és képviselni a párkapcsolati erőszak női áldozatainak és gyermekeinek emberi jogi igényeit, érdekeit. Ezt a célt a projekben részt vevő szervezetek tudás- és fenntarthatósági igényeinek figyelembe vételével, és a résztvevők stratégiai fejlesztése mellett a következő eszközökkel valósítják meg: a szakterületen hiányzó akkreditált képzéseket indítanak, felnőttképzési akkreditációt szereznek, és bővítik az önkénteseik ismereteit és kapacitásait; intézményi együttműködéseket facilitálnak az erőszak áldozataival, női jogokkal, intervencióval, prevencióval foglalkozó ifjúsági, szociális, érdekérvényesítő és megbélyegzett társadalmi csoportokkal foglalkozó, regionálisan sokszínű és széles célcsoporti kört lefedő civil szervezetek között. Prevenciós és akkreditált képzéseket, mentorálást, szupervíziót, szervezetfejlesztést, téma-specifikus lobbizási ismereteket és szakmai anyagokat biztosítanak, és önsegítő csoportokat segítenek létrehozni. A projekt eredményeként szakmai együttműködések alakulnak ki, és a szervezetek képesek lesznek önállóan is hasonló programokat indítani és vezetni, hatékonyabban képviselni és érvényesíteni a párkapcsolati erőszak áldozatainak jogait és érdekeit, és továbbfejleszteni kapacitásukat a témában.",,€118 279
Női jogok és esélyegyenlőség (Makró),gender and equal opportunities,121,NCTA-2013-4183-M1,JÓL-LÉT Közhasznú Alapítvány az egyének és közösségek tartós harmóniájáért,"Nóra - háló, avagy országos gender-tudatos munkaerőpiaci tanácsadó hálózat létrehozása tudástranszferrel",Nora-network - creation of a national gender-sensitive labour market consultancy network based on knowledge transfer,Budapest,Budapest,Well-Being Public Benefit Foundation for substantive harmony of individuals and coumminities,HU05-0092 - Nora-network - creation of a national gender-sensitive labour market consultancy network based on knowledge transfer,"In the area of gender equality in Hungary negative trends prevail, the lack of gender awareness is universal. The NORA-network's member NGOs, which are selected through an open application process, will receive training and mentoring and will create counselling points providing professional reintegration and anti-discrimination consultancy in 10 cities, for about 5000 mothers returning to work. Education and service activities will be carried out towards employers, professionals and authorities, too. The project promoter will cooperate with the Equal Treatment Authority to prepare case-based reports on discrimination. Sustainability of the network is ensured by exchange of experiences with Norwegian NGOs. The Northern Women's University is involved in the transfer of knowledge and in the promotion of gender equality. Through the collaboration, the network will be connected to international networks, which will ensure that the quality of the professional work, the cooperation mechanisms and techniques will be sustained on the long run.","A nemi esélyegyenlőség Magyarországon negatív tendenciát mutat, a gender-tudatosság minden területen hiányzik. A Jól-Lét Alapítvány a Nóra-hálózat létrehozásával szeretne ezen a helyzeten javítani. A Nóra háló egy szolgáltatási modell, mely a nők elleni diszkriminációt újratermelő közpolitikákat ellensúlyozná. A kisgyermekesek munkaerőpiaci esélyeit javító komplex, szemléletet is formáló szolgáltatási modellt 10 városban hozzák létre. A modell része egy anti-diszkriminációs jelzőrendszer is mely esetkezelésre, kutatásokra is alkalmas. A hálózatba pályázat útján jelentkezhetnek a szervezetek, melyeket képzésekkel és mentorálással kísérve készítenek fel tanácsadó pontok kialakítására. A Jól-Lét a munkáltatóknak, hatóságoknak és szakembereknek is kínál képzéseket és szolgáltatásokat, az Egyenlő Bánásmód Hatósággal pedig esettanulmányokon alapuló jelentést is készítenek a kirekesztésről.",,€127 044
Társadalmilag sérülékeny csoportok megerősítése (fókusz: roma integráció),"empowerment of vulnerable groups, including Roma",63,NCTA-2013-2986-G,Amnesty International Magyarország Egyesület,Emberi jogi oktatás az ózdi kistérségben,Human rights education at Ózd microregion,Budapest,Budapest,Amnesty International Hungary,HU05-0047 - Human rights education at Ózd microregion,"Human rights education is almost completly missing from the Hungarian state education. Students in disadvantaged regions have even less chance to learn about their rights. This project enables children through human rights education in schools to learn about their own situation and the importance of standing up for themselves. Human rights topics will be processed through participatory methods so they can use them in their everday life. The partner organization is Dr. Ámbédkár School. The experiences of the project will be published and local stakeholders, educational institutions will be informed about the results.","A magyar oktatásból az emberi jogi képzés szinte teljesen hiányzik, a hátrányos helyzetű régiókban leginkább. A projekt célja, hogy az emberi jogi képzésen keresztül a diákok tisztában legyenek helyzetükkel és azzal, hogy milyen fontos kiállni magukért. Az emberi jogi témákat részvételi módszerekkel dolgozzák fel, hogy azokat a mindennapi életükben használni tudják. Együttműködő szervezet a dr. Ámbédkar iskola, a tapasztalatokat workshopok keretében összegzik, kiadványt készítenek és a helyi stake-holdereket, oktatási intézményeket is tájékoztatják az eredményekről.",,€10 026
Társadalmilag sérülékeny csoportok megerősítése (fókusz: roma integráció),"empowerment of vulnerable groups, including Roma",93,NCTA-2013-3620-G,BAGázs Közhasznú Egyesület,BAGázs IKSZ,BAGázs School Community Service,Budapest,Budapest,BAGazs Public Association,HU05-0032 - BAGázs School Community Service,"The children living in the Gypsy settlement of Bag experience discrimination at school. The majority of the children struggle with behavioural and learning difficulties. The settlement is segregated, with a high risk of criminalization. There are no counteracting recreational, social programmes, no positive examples to follow. This project aims is to reduce prejudice in school and against the children of the Roma settlement and to enhance the performance of the children with the help of parents and secondary school student volunteers. Thus the participants’ ability to follow rules and to improve their school performance will be developed. The target groups are children of 6-13 years of age; parents; secondary school students; volunteers; 15-25 year-old local youth; and the local institutions.","A bagi romatelepen élő gyerekek gyakran küzdenek tanulási és viselkedési nehézségekkel. A projekt célja a gyerekek teljesítményének javítása a szülők és középiskolások bevonásával. A programot középiskolákban és a telepen hirdetik, a támogatókat és a középiskolásokat is kiképzik a munkára, illetve szülői értekezleteket rendeznek. Az önkéntes résztvevőkkel rendszeresen megbeszéléseket tartanak, amit dokumentálnak és konferenciát szerveznek, hogy a programot láthatóvá tegyék a helyi lakosok számára. A helyi iskola és gyermekjóléti szolgálat és a Demokratikus Ifjúságért Alapítvány is részt vesz a projektben. Eredményként várható, hogy javul a gyerekek iskolai teljesítménye, a szülők megtapasztalják, hogyan lehet a gyerekeket támogatni a tanulásban, csökkennek az előítéletek helyi szinten, és erősödik az önkéntesek társadalmi érzékenysége is.",,€5 945
Társadalmilag sérülékeny csoportok megerősítése (fókusz: roma integráció),"empowerment of vulnerable groups, including Roma",50,NCTA-2013-2743-G,Kék Pont Drogkonzultációs Központ és Drogambulancia Alapítvány,Peer Kapitány (Segítők a Sarokról),"\"Captain Peer\" (Helpers from the corner)",Budapest,Budapest,Blue Point Drug Counselling and Outpatient Centre Foundation,"HU05-0051 - \"Captain Peer\" (Helpers from the corner)","The goal of the project is to introduce peer based intervention in the needle exchange program of Blue Point, in the 8th district of Budapest. By engaging clients in the work, the organization helps them develop skills that can be used in other fields as well. The target group is intravenous drug users - using either legal or illegal drugs – who are residents or dwell in the district or inner Józsefváros. As a result, an empowerment-based community building work can be introduced in the life of the foundation in which clients participate from the planning of services up to the evaluation of a project.","A projekt célja egy sorstárs (peer) vezérelt intervenciós modell bevezetése a Kék Pont Alapítvány VIII. kerületi Kontakt tűcsere programjában. A sorstárs alapú program olyan megközelítést jelent, amelyben intravénás szerhasználók adnak informális támogatást más intravénás szerhasználóknak. A projekt feladata megtalálni és kiválasztani azokat a klienseket, akik a közös munkába bevonódva szorosabb együttműködéssel, képzéssel maguk is sorstárs segítőkké válhatnak. Ezzel egyrészt segítik a szervezet által a program célcsoportjában elérni kívánt célok hatékonyabb megvalósulását, másrészt olyan gyakorlati tapasztalatokat szerezhetnek, különböző készségeket sajátíthatnak el, amelyeket a programon kívül, életük egyéb területein is tudnak majd hasznosítani. A célcsoport a tűcsere programba már bevont, ezres nagyságrendű, izolált, az állami ellátórendszerrel nem, vagy csak esetlegesen kapcsolatba kerülő, szocio-kulturális gettóban, mélyszegénységben élő, magukat romáknak valló intravénás szerfogyasztók. A projekt eredményeként egy olyan újfajta empowerment szellemiségű közösségépítés kezdődhet Magyarország legnagyobb kliensszámú VIII. kerületi tűcsere programjában, közvetve a Kék Pont Alapítványban is, ahol az érintettek részvételével dolgoznak a szolgáltatások tervezésétől az értékelésig.",,€9 996
Társadalmilag sérülékeny csoportok megerősítése (fókusz: roma integráció),"empowerment of vulnerable groups, including Roma",103,NCTA-2013-3880-G,Közért Egyesület,"\"Bodagozó\" létrehozása a romákkal kapcsolatos előítéletek csökkentése, valamint a helyi közösség megerősítése érdekében",Bodager Buffet and Fast Food Restaurant,Budapest,Budapest,Community Association,HU05-0052 - Bodager Buffet and Fast Food Restaurant,"With the involvement of young, unemployed Roma people living in deep poverty the NGO creates a fast food restaurant offering traditional Roma meals. The buffet will be operated in the youth club of the organisation and professionals from the field of catering, communication and business will help create a brand as well.","Az Esély Közösségi Egyesület Bodagozó Büfé és Gyorsétterem létrehozását tervezi a jelenleg is működő Ifjúsági Klubjában. Az étterem és a klub üzemeltetésébe mélyszegénységben élő, intézményes és közösségi kapcsolatokkal nem rendelkező, nagyvárosi, főként roma fiatalokat vonnak be. A közös projekt hatékony közösségi munkát és közösségfejlesztő tevékenységet jelent. A projektbe számos önkéntes szakértőt vonnak be a kommunikációs, vendéglátó- és vállalkozói szférából. A közösségi program modellértékű lehet más, a területen tevékenykedő civil szervezet számára is – az átgondolt brand kidolgozása éppen azt a célt szolgálja,hogy franchise-rendszerben a program könnyen adaptálható legyen más területekre, városokba, városrészekbe is.",,€9 953
