Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0420-Z,Herman Ottó Természetvédő Kör,Herman Ottó Conservation Circle,Összefogáson alapuló térségi természetvédelmi törekvések megszervezése védett területeken kívüli értékes élőhelyek és védett fajok állományainak megőrzése érdekében a negatív agrárfolyamatok ellenében.,Organizing local nature conservation efforts with cooperation to protect valuable habitats and protected species outside of nature protection areas in order to counter negative agrarian trends,"In cooperation with other NGOs, Herman Ottó Circle organizes actions to protect such areas and populations of endangered species in Jász-Nagykun-Szolnok county that fell outside the protection zones and are endangered by negative agricultural progresses. The main target groups are those four hunting organisations (group of farmers and hunters) who are working on the target area. By creating cooperation among originally opponent organisations these valuable habitats can be protected in a way where both hunter and nature conservation aspects are respected. The project concentrates on  two main areas (1) protection of the near extensive gardens’ orchards, its local breeds and community of biotopes, (2) protection of balks and artificial lakes in cooperation with environmentalists and fowl hunters of the habitats and the related natural values.","A HOTEK másokkal együttműködve szervezi meg a Jász-Nagykun-Szolnok megye védett területein kívül eső értékes élőhelyek és védett fajok természetvédelmi akcióit. A fő célcsoport a célterületen dolgozó négy vadásztársaság. A klasszikusan ellenérdekelt felek együttműködésének köszönhetően a természetvédelmi tevékenységekben mindkét fél érdekei érvényesülhetnek. A projekt két fókuszterülete a térségi zártkertek tájhonos extenzív gyümölcsösei és a mezsgyék, báger- és kubikgödrök védelme.",Jász-Nagykun-Szolnok,13 284 730,,Túrkeve
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0421-Z,Banya-Tanya Alapítvány,Witch Farm' Foundation,"""Bátor Cottage"" - Falu-város közösségépítés a fenntarthatóságért","""Bátor Cottage"" - Village-city community building for susgainability","Bátor Cottage aims to create and manage a livable village community and promote sustainable and self-sufficient village lifestyle. Through different community-based works, practical actions, trainings and events - all related to organic and traditional farming, food processing-  the organization builds a living connection between the village and nearby town inhabitants in Heves county, reappraises the values of creative physical work, creates an exchange-based trading system in village-town relation and disseminates environmentally sound and economic household methods.","A Bátor Cottage célja egy élhető falusi közösség létrehozása, fenntartása és a fenntartható, önellátó vidéki életmód népszerűsítése. A hagyományos és öko-gazdálkodáshoz kapcsolódó akciók, képzések és események segítségével a szervezet élő kapcsolatot teremt a falu és a közeli város lakói közt. A projekt visszaadja az alkotó munka értékét, pénz nélküli cserekereskedelmi rendszert vezet be falu-város viszonylatban és környezetbarát, költségkímélő háztartási megoldásokat népszerűsít.",Heves,4 776 000,,Bátor
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0435-S,Miskolci Autista Alapítvány,Autistic Foundation of Miskolc,Munka és természetközeliség az Autista Majorságban,Work and proximity to nature at the Autistic Manor,"The foundation aims at further developing the social services of the Autistic Family Home in Miskolc, ran by the foundation. They have two target groups: (1) the 65 autistic persons with disabilities receiving care at the home, (2) about 100 elderly, chronically ill people living in Miskolc, for whom the foundation provides meals. In this project the foundation expands the therapeutic care and employment for autistic people by extending their real estate in Miskolc with greenhouses and with developing the livestock in the cultivated area of their Autistic Manor in Szakáld. The produced goods are used in the kitchen of the institution, that caters both target groups. The kitchen is being developed with energy-saving devices and solar panels as well.","Az alapítvány az általa üzemeltetett Autisták Családi Otthonának szociális szolgáltatásait fejleszti Miskolcon. A projekt célcsoportjai az otthonban ellátott 65 autista, fogyatékossággal élő személy, és 100 miskolci idős, krónikus beteg, akiknek kihordásos étkeztetést nyújt  a szervezet. A program során a terápiás ellátást és foglalkoztatást bővítik fóliasátrak építésével, zöldségek, gyümölcsök termesztésével, ill. a szakáldi autista majorság fejlesztése az állatállomány bővítésével, a megművelt terület növelésével. A termelt javakat a főzőkonyhán használják fel, mely a két célcsoportot látja el. A konyhát energiatakarékos eszközökkel és napkollektoros rendszerrel újítják fel.",Borsod-Abaúj-Zemplén,21 600 000,,Miskolc
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0443-S,Önmegvalósítás Egyesület,Association of Self-Realization,Önmegvalósítás,Self-realization,"With supplementary therapies (art, music and dog-therapy) and job counselling the project's aim is to reduce mental and medical problems of addicts. They focus on the enhancing individual/family mental strength and responsibility, reduction of relapses and development and maintenance of work-ability and activity. The target groups are addicts over 16 and their close relatives.","A projekt célja, a szenvedélybetegek gyógyszeres és lelki terápiáinak jelentős lerövidítése kiegészítő terápiákkal (zene, művészet stb.). Az egyéni és családi ""én erő"" növelésére fókuszálva erősítik a felelősségvállalást és csökkentik a visszacsúszás esélyét, növelik és fenntartják a résztvevők munkaképességét és aktivitását. A célcsoport a Miskolcon élő, 16 év feletti szenvedélybetegek és hozzátartozóik.",Borsod-Abaúj-Zemplén,9 000 400,,Miskolc
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0446-S,Vanyarcért Egyesület,Association for Vanyarc,Nem nézzük tétlenül,We do not stand idly by,"The association for Vanyarc aims to set up a social cooperative (non-profit, self-employed enterprise) to tackle extreme poverty in the area. The participants and target groups are the unemployed and/or low-income individuals and families in the village and its direct neighbourhood.",A vanyarci egyesület egy szociális vállalkozás alapításával a mélyszegénység ellen szeretne tenni. A résztvevők és a célcsoport a falu munkanélküli lakossága / alacsony jövedelmű személyek és családok.,Nógrád,6 173 420,,Vanyarc
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0460-S,Forrás Lelki Segítők Egyesülete,"""Forrás"" Mental Helpers' Association",KÖZÖSSÉGBEN – KÖZÖS TÉRBEN,In a community – a place that is ours,"The association's goal was to create a community place for young people to where they can raise interest in creating and maintaining a healthy, drug-free, sober lifestyle. In order to reach these aims, theyl cook and prepare meals together, play boardgames, music, and do other entertaining activities that are – according to their experience - popular among the members of the target group. The target group are 16-22 years old young people of Debrecen, with difficult family background.","Az egyesület egy olyan közösségi teret hoz létre fiataloknak, ahol lehetőség van érdeklődés felkeltésére az egészséges, szermentes, mérsékletes életvezetés kialakításához és megtartásához. Ezen célok eléréséhez közös főzéseket, játékokat, zenélést és egyéb közösségi  tevékenységeket szerveznek. A célcsoport a debreceni, 16 és 22 év közötti, nehéz családi háttérrel bíró fiatalok.",Hajdú-Bihar,1 342 000,,Debrecen
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0461-Z,H-Union Magyar Társadalom és Gazdaságfejlesztési Szövetség,H-Union Hungarian Society and Economy Developer Alliance,Közösségi Kert a város szélén,Community garden on the town's edge,"H-Union's goal is to utilize the neglected outskirts lands of Eger for agricultural production. Thus, they set up an allotment that can serve as a prototype for a community garden. The direct target groups are 30-60 farmers, their families and college students. Beyond the concrete realization of the garden, they also involve the local community with various adverstising tools (eg. publication, website).","A H-Union a városmenti, elhanyagolt területek mezőgazdasági hasznosítását kezdeményezi Egerben, közösségi kert formájában. Céljuk, hogy a lakosság körében elterjesszék a mezőgazdasági kultúrának a Közösségi Kertben megvalósítható mintáját. Ezért egy modell kertet hoznak létre 30-60 leendő gazdálkodó és azok családjainak bevonásával.",Heves,2 811 000,,Eger
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0468-Z,Ifjú Botanikusok Baráti Köre,Young Bothanic Friends Circle,„Így lesz kerek a világ! Ember és természet harmóniában…” hálózat kialakítása és közösség fejlesztése,"Establishing and developing „Round world - Man and nature in harmony..."" network","In cooperation on local producers, service providers and other stakeholders the Young Botanics aimed at creating the  „It will be a round World! - Man and nature in harmony” network to promote nature-related sustainable activities, products, services and lifestyle. During the two-year project a diverse community develops, which actively supports and demands nature-related sustainable activities, uses sustainable products and services and contributes to maintain the established social network. The project elements are: establishing the „It will be a round World!” network, community building in real life, via Internet with media appearances and promotion of sustainable development policies.","Helyi termelők, szolgáltatók és egyéb érintettek bevonásával hozza létre az Ifjú Botanikusok köre az „Így lesz kerek a világ! Ember és természet harmóniában…” hálózatot. A hálózat célja a természethez kapcsolódó fenntartható cselekvések, termékek, szolgáltatások és életformák megkedveltetése, népszerűsítése, a velük kapcsolatos cselekvésre ösztönzés a mindennapi életben. A kétéves projektben olyan többrétegű közösség alakul ki, amely aktívan támogatja és igényli a természethez kapcsolódó fenntartható cselekvéseket, igénybe veszi a természethez kapcsolódó fenntartható termékeket és szolgáltatókat, hozzájárul a közösségi hálózat fenntartásához.",Szabolcs-Szatmár-Bereg,18 312 300,,Nyíregyháza
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0472-S,Szocio East Egyesület,Socio East Association,"""PERSELY""-Háztartások Pénzgazdálkodását segítő és kríziskezelő szolgáltatási rendszer","""PURSEY""- Household money management counselling services","The goal of the project was to set up a counselling network and debt management service to help families, with household economy issues living in 10 settlements of the Tiszavasvári micro-region. The target groups are people with low education and poor advocacy skills, who are living in deep poverty, with special attention to single parent families, inhabitants of segregated settlements and Roma people. The association teaches these families about the risks of financial obligation and helps them in handling bankruptcy. During the project the counsellors learn about community-based social services as well as financial awareness and debt management. A shorter training is carried out to develop the skills of volunteers as well.","A projekt célja egy tanácsadó és adósságkezelő szolgáltatás létrehozása Szabolcs-Szatmár–Bereg megye Tiszavasvári kistérségének 10 településén. A projektben résztvevő családoknak segítenek a háztartásgazdálkodásban, feltárják a pénzügyi kötelezettségvállalásaikkal kapcsolatos kockázatokat és segítenek az esetleges pénzügyi csődhelyzeteket kezelni. A projekt célcsoportja az alacsony iskolai végzettségű, elsősorban mélyszegénységben élő, rossz érdekérvényesítő képességű emberek, különös tekintettel a csonka családokra, a szegregátumokban élőkre, romákra. A projekt keretében tanácsadói hálózatot alakítanak ki professzionális segítők és önkéntesek közreműködésével.",Szabolcs-Szatmár-Bereg,19 954 650,,Nyíregyháza
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0474-S,Csereháti Roma Önsegítő Közhasznú Egyesület,Roma Self-helper Association of Cserehát,Ifjúság-Közösség-Média Médiahálózat fejlesztése a Cserehát 10 kistelepülésén,Youth-Community-Media, Media network development in 10 settlements of the Cserehát,"The aim of the project is to teach basic media knowledge for 30 young people of the Cserehát, help their employment opportunities and to create a regional news agency called Cserepressz. The agency is being set up during a media camp where 50 disadvantaged young people can participate. 10 Cserepressz reporters receive mentor training from professionals working in national media (editing, photography, journalism, blog writing and basic media pedagogy).","A projekt célja alapvető médiaismeretek átadása 30 fiatalnak Csereháton és a Cserepressz regionális hírügynökség létrehozása. Az ügynökséget egy médiatábor során hozzák létre, melyen 50 hátrányos helyzetű fiatal vesz részt. Tíz Cserepressz tudósító professzionális továbbképzést is kap az országos médiában dolgozóktól (szerkesztés, fotózás, újságírás, blogolás és alap médiaképzés.)",Borsod-Abaúj-Zemplén,13 520 700,Tomor
Svájci Magyar Civil és Ösztöndíj Alap,SMÖA-2012-0082,Összefogás Berettyószentmártonért Egyesület,Cooperation for Berettyószentmárton Association,Befektetés a jövőbe,Investing in the future,"The project goal was to provide programs to help disadvantaged students start or continue their high school studies in order to successfully finish school, continue their studies or to get a profession, as well as to pass on to them national and universal culture, to intensify their mental, sensual receptivity and moral sense. The collectively develop of skills, abilities, attitudes and knowledge necessary to work and learn. The target groups are 2 subregional primary schools’ students in 7th and 8th grade (21 pupils/year) and 3 secondary educational institutes’ students in 9th and 10th grade (21 students/year).  With the complex project the foundation provides scholarship-like support and programs which directly or indirectly help the young people finish their studies, improve their chance to find an employment through coaching, learning languages, career-orientation, sport races, artisan activities, classical music concerst, lifestyle guidance, household and bank knowledge, managing money, internet use, family life, healthy way of life. Other program elements: self-knowledge, communication and drama pedagogy practices, sensitizing programs, guilt and drug prevention presentations, library and museum visits, excursions, camps, clubs, cultural and other events, which help develop the children’s social competence and participate in the development of healthy personalities.","A projekt célja, hogy olyan programokat biztosítson amelyek marginalizált helyzetű diákokat segítenek középfokú tanulmányaik elkezdésében vagy folytatásában,azért, hogy sikeresen befejezhessék tanulmányaikat, tovább tanuljanak, szakmát szerezzenek. Emellett fontos cél a nemzeti műveltség átadása, és az egyetemes kultúra közvetítése, a szellemi, érzelmi fogékonyság az erkölcsi érzék mélyítése, a tanuláshoz és a munkához szükséges készségek, képességek,ismeretek attitűdök együttes fejlesztése. A célcsoportok a kistérség két általános iskolájának 7-8. évfolyamos tanulói (21 fő) és 3 középfokú oktatási intézményének 9-10. osztályos tanulói (21 fő). A komplex projekt keretében az alapítvány ösztöndíj jellegű támogatást és a tanulmányok elvégzését segítő programokat nyújt, melyek az elhelyezkedési esélyeket is javítják (felzárkóztatás,korrepetálás,nyelvtanulás,pályaorientáció, sportvetélkedők, kézműves foglalkozások, komolyzenei hangversenyek, életvezetési tanácsadás, háztartási és banki, pénzkezelési, internet használati, családi élettel, egészséges életmóddal kapcsolatos ismeretek). Egyéb program elemek: önismereti, kommunikációs, drámapedagógiai gyakorlatok, érzékenyítő programok, bűnmegelőzési és drogprevenciós előadások, könyvtári és múzeumlátogatások, kirándulások, klubok, kulturális és egyéb rendezvények szervezése, melyek a gyerekek szociális kompetenciáinak fejlesztését segítik elő, az egészséges személyiségfejlődéséhez járulnak hozzá.",Hajdú-Bihar,12 941 088,,Berettyóújfalu
Svájci Magyar Civil és Ösztöndíj Alap,SMÖA-2012-0088,Burattino Hátrányos Helyzetűeket Segítő Iskola Alapítvány,Burattino School for the Disadvantaged,"""Fogd a kezem!"" Esélyegyenlőségi program a Burattino Iskolában","""Hold my hand!"" Equal opportunities program in Burattino School","The number of students dropping out of the education system is continuously increasing. They are very often over-age students, typically with multiple learning and/or social difficulties, who have no chance in normal education. Neither their families, nor the contemporaries can provide them with the knowledge and skills crucial for their healthy physical and mental development. Therefore, the long term goal is to diminish social and economic inequality and to help the social integration of severly disadvataged children of the Roma minority, where 70% of the students’ families have to struggle with problems of housing, 50% with unemployment, 35% with health disorders. The main activities are teaching, mentoring, social work, drop-out prevention, organizing culture and sport programs, as well as summer camps. The methods applied during the project are individual and group therapy, education in small groups, personal assistance and a talent program.","Egyre több az iskolarendszerből kihulló sokszor túlkoros, ""problémás gyerek"", akiknek iskolai karrierje eleve kudarcra ítélt. Ezek a gyermekek sem a családjukban, sem kortárs csoportjaikban nem szerzik meg az egészséges fizikai- és személyiségfejlődésükhöz elengedhetetlenül szükséges tudást, képességeket és készségeket. Az elmúlt évek során egyre több a veszélyeztetett gyermek, a hatósági intézkedésben védelembe vett gyermekek száma megkétszereződött. A sodródó, eszkalálódóan agresszív viselkedésmintázatokat mutató fiatalok száma érezhetően emelkedik, (évente 10%), amelyeknek terápiájára a szakrendszerű gyermekvédelmi, oktatási, nevelési folyamat - eszközök híján - nem nyújt megfelelő megoldást. Szintén erősen érezteti hatását a világgazdasági válság, amely a szegénységben élő, aluliskolázott társadalmi réteghez tartozó embereket - az iskola tanulóit és szüleiket - ellehetetlenítette. A tanulók családjainak 70%-a küzd lakhatási nehézségekkel (albérlet, díjhátralék), 50%-uk munkanélküliséggel, 35%-uk egészségügyi problémákkal. A fő tevékenységek oktatás, mentorálás, szociális munka, értékelés, szabadidő szervezés, táboroztatás, kulturális és szabadidő programok, sport, a lemorzsolódás megakadályozása. Az alkalmazott módszerek egyéni és csoportos terápia, kiscsoportos oktatás, differenciálás, tehetséggondozás.",Budapest,13 680 000,,Budapest
Svájci Magyar Civil és Ösztöndíj Alap,SMÖA-2012-0213,Szomolyai Magyar Roma Egyesület,Hungarian Roma Association at Szomolya,"""Karolj át...""","Hug me...""","The overall goal of the 24-months long project is to generate further development based on earlier projects (focused on Roma community) implemented by the association. The project provides complex assistance for Roma children in order to increase their educational/social opportunities. The goal is to help these children/youngsters to finish elementary/secondary school successfully. The project focuses on two small villages situated in a disadvantaged region of Hungary. 60 Roma students are involved in the program, they are attending primary or secondary vocational school, experiencing deep poverty and exclusion. The segregated and low-quality local education system enhances their disadvantaged position. 12 mentors follow 5-5 children each. The mentors’ task is to sustain relationship with children, families, teachers, and to work out and organize a weekly/monthly plan for each child. The project provides the following assistance to children: mentors, private lessons (taking personal needs into account), programmes and trainings, summer camps, health care. The association develops contacts with teachers and other professionals who work locally  and also involve families and friends of children through community programmes. At the beginning of the project a survey was made  about the skills, competences and state of health of the children.","A projekt célja, hogy B-A-Z megye két településén, Szomolyán és Sályban a „telepfelszámolási” programok keretén belül elindított fejlődést és változást tovább generálja azzal, hogy kiemelten foglalkozik a roma – különösen a putrikból és a pincelakásokból kiköltözött – családok gyerekeivel tanulásuk, iskolai és társadalmi esélyeik javításával. A közvetlen célcsoportba a 7-8. osztályos és az eljáró első-másodéves szakiskolai tanulók tartoznak (13-16 évesek), összesen 60 fő (30 fő Szomolya, 30 fő Sály), őket két évig kísérik (össz.120 fő). A családi háttér és a szegregált iskola negatív (gettó) hatásaként ezek a diákok nehezen boldogulnak az iskolával, rosszul teljesítenek, amelynek következtében a lemorzsolódás veszélye fenyegeti őket („feladják”). Közvetett célcsoport a bevont tanulók családjai, testvérei, barátai. A projektben résztvevő mentorok a szülőket segítve koordinálják a gyerekek tevékenységét, segítenek a tanulásban, társas konfliktusok megoldásában, új helyzetekben helyes viselkedési minták kialakításában. ",Borsod-Abaúj-Zemplén,28 118 000,,Szomolya
Svájci Magyar Civil és Ösztöndíj Alap,SMÖA-2012-0221,Szegényeket Támogató Alap Egri Alapítványa,Eger Foundation of the Fund Supporting Poors,"""Menjünk együtt!"" - Felnémeti roma tanulói hálózat",Let's go together!  Felnémet Roma pupil network,"The overall goal is to develop social rehabilitation processes in a Roma ghetto (400 inhabitants) in the suburb of Eger. The foundation has been working in this field for 15 years, and this project strengthens their programs. Now they provide complex assistance and services for Roma children (families); decrease the number of early school-leavers, improve school achievement of students; develop their social competences in order to achieve successes during their school-career and (marketable) profession. The primary target group is 60 Roma children (aged 12-17) living in the ghetto, attending segregated schools. Beyond this several services are opened for families and other children as well. The key figures are the “mentors”: they keep in touch with involved children, supervize, organize and support their daily/weekly/monthly life. The foundation focuses on organizing, developing children’s communities and social relations (clubs, community programmes, etc.). These activities provide the background for other professional services (personal assistance for studying, developing social skills and competences etc.). During implementation the foundation cooperates with schools and teachers affected by the topic of the programme. The five mentors keep in touch with teachers.","A projekt átfogó célja, hogy csökkentsék az egri Béke-telepen élő fiatalok szegénységének, munkanélküliségének újratermelődését. Továbbá cél, hogy a Béke-telepen (kb. 500 fő) a korábban elindított rehabilitációs folyamatot intenzíven folytassák; az itt élők iskolai végzettsége, munkapiaci helyzete javuljon; a telepen élő serdülők/családjaik számára nyújtott szolgáltatásokkal megállítsák az iskolai lemorzsolódást, benntartsák/(újra) beléptessék őket a közoktatásba; a fiatalok szakmát szerezzenek, miközben személyiségük, tanulási készségeik, szociális kompetenciájuk is fejlődik. Az elsődleges célcsoportba telepi, roma serdülők tartoznak (90-100 fő), akik szegregált iskolában tanulnak, iskolai pályafutásuk kudarcos. A fókusz az évismétlőkön van, akik hiányzásaik miatt veszélyzónában, viselkedési problémáik miatt magántanulói státuszban vannak. A programokkal a bevont tanulók családjait, kortárscsoportjait is elérik. A 24 hónapos projekt során összesen 60 fővel és szociális közösségeikkel foglalkoznak.",Heves,14 362 000,,Eger
Svájci Magyar Civil és Ösztöndíj Alap,SMÖA-2012-0232,Camp Europe Felsőörs Oktatási Közhasznú Nonprofit Kft.,Camp Europe Felsőörs Educational Nonprofit Ltd,A zene felemel - tanulmányi ösztöndíjprogram zeneileg tehetséges roma gyerekek és fiatalok számára,Music raises - scholarship program for musically talented Roma children and youth,"This program was designed to complement the basic service in music teaching offered by the Snétberger Music Talent Foundation. The direct target group of the project are disadvantaged Roma children and youths, 12-18 years of age from all over Hungary, who have a talent in music, as well as the need and desire to get a more complete education, chance and assistance to finish their schools. The children’s families and institutions are also involved as active participants in the project. Indirectly the program has an effect on a broader group as the students serve as outstanding examples (role models) for their local communities, for concert audiences and for society as a whole. During the 24 months of the project life cycle 100 scholarships are given in the form of different educational services partly at Felsőörs, during an in-house training, and partly at Budapest, on week-end classes. The programme elements are: (1) key competence enforcement and social skills re-education, (2) intensive language courses, (3) personal mentoring, (4) self-management and coaching. The methods are based on non-formal, “learning-by-doing” education. It builds on the musical knowledge children bring from home. The program contains a high number of contact hours, community building events, tutoring and personalized assistance in order to prevent drop out and to answer to the individual needs of the students who become a model for their communities the best.","Az ösztöndíjprogram célja, hogy egy élménypedagógiára építő, nagyon személyes program által töltse fel a családból hozott hiányokat, és továbbtanulási esélyekhez juttassa azokat a tehetséges roma gyerekeket, akik körülményeiknél fogva másképp ki lennének zárva a társadalmi felemelkedésből. Sikerük és példájuk a roma közösségekre is jelentős hatással lehet. A program a Snétberger Alapítvány zenei képzését egészíti ki, amely lehetővé teszi, hogy a hátrányos helyzetű roma gyerekek sikeresen befejezzék iskolai tanulmányaikat, továbbtanuljanak, vagy önálló pályát kezdjenek. A célcsoport tagjai 12-18 év közötti, zeneileg tehetséges, de hátrányos helyzetű, társadalmi kirekesztettségben és szegénységben élő roma gyerekek, akik zenei képességeikre építve képzelik el a jövőjüket. Az ösztöndíjat természetbeni juttatásként, kétszer 12 hónapig 100 diák kapja. Az éves ciklus alatt az ösztöndíjasok bentlakásos táborokban vehetnek részt Felsőörsön, illetve hétvégi kurzusokon, Budapesten. A program tartalmaz készségfejlesztő órákat és előadásokat (tanulásmódszertan, vállalkozás, önszervezés, médiaismeret), angol/német nyelvi kurzust, és pályaorientációs tréninget. Ezeket keretbe fogja a 12 hónapos mentori kísérés. A tanulmányi elemeket rendszeres nyilvános fellépések, és szabadidős-kulturális programok egészítik ki.",Veszprém,24 134 000,,Veszprém
Svájci Magyar Civil és Ösztöndíj Alap,SMÖA-2012-0238,Tudor Alapítvány,Tudor Alapítvány,"„Minden embernek természete, hogy törekszik a tudásra”",„All people naturally strive for knowledge”,"This program improves the chances of disadvantaged and highly disadvantaged children by tackling their handicaps, and by helpung catch up with their peers in order to prevent dropping out. It motivates them and reinforces their willingness to stay in education by developing their skills and talents.The primary target groups are 7 and 8 grade pupils, and marginalised 9 and 10 grade pupils of secondary schools. The children worr with mentors and several events and courses complement the program (courses in spelling, reading comprehension, communication, mathematics, foreign languages, information technology; excursions, visits to theatres, cinemas, museums, and libraries, film club).","A hátrányos és halmozottan hátrányos helyzetű roma és nem roma tanulók mind szociálisan, mind kulturálisan hiányt szenvednek: nincs jövőképük, nem jutnak hozzá a minőségi szolgáltatásokhoz. A projekt célja tehát esélyeik javítása hátrányaik leküzdésére, felzárkóztatásuk valamint lemorzsolódásuk megakadályozása. A célcsoport a 7., 8. osztályos marginalizált roma és nem roma gyerekek, emellett a középiskolák ugyancsak marginalizált roma és nem roma 9., 10. osztályosai, összesen 50 gyerek. A résztvevők tanulmányait támogatják és mentorok biztosítják egyénre szabott tehetséggondozásukat.",Budapest,17 012 612,,Budapest
Svájci Magyar Civil és Ösztöndíj Alap,SMÖA-2012-0311,Add a kezed az esélyegyenlőség megterentésének segítése az oktatásban és a munkaerőpiacon közhasznú Egyesület,Give me your hand for the equal opportunities in education and on the labour market Association,"""Add a kezed"" - segítő háló","""Give me your hand"" - support network","The association’s guiding principle is to support the target group with programs based on real needs and harmonizing with the needs of the target group. Therefore, a previous survey was made by volunteers in the form of family visits and interviews among the disadvantaged families in Tiszavasvári. During these conversations stakeholders could tell their problems and their ideas, so the association could form an objective picture of the current situation and needs of this population. The findings were the cornerstone of planning and developing the program elements. The association operates activities which complement traditional teaching techniques, which are personality-specific, and contribute to guaranteeing the disadvantaged and Roma children’s equal opportunities. The project provides community space for self-determination and the ability of self-governance of the students. Besides, the association operates mentoring activities, gives assistance in the schools subjects, and also runs the Career module, Media-IT module, Music and Dance module. In addition, they organize trips, outdoor and sport activities, and would like to organize Parents' Clubs.","Az egyesület alapelve, hogy a célcsoport igényeire válaszoló, valós igényeken nyugvó segítséget nyújtson. Ezért Tiszavasváriban egy előzetes igény és helyzetfelmérést készítettek önkéntesek segítségével a halmozottan hátrányos helyzetű családok körében, családlátogatások, beszélgetések, interjúk formájában. E beszélgetések során az érintettek elmondhatták problémáikat, elképzeléseiket. Az „Add a kezed” segítő háló olyan tevékenységeket kíván működtetni, melyek kiegészítik a hagyományos oktatási technikákat, személyiség-specifikusak, és hozzájárulnak a hátrányos helyzetű és roma gyerekek esélyegyenlőségeinek kiegyenlítéséhez. A projekt közösségi teret biztosít a tanulók öntevékenységének, önkormányzó képességének kibontakoztatásához. Emellett az alapítvány mentori tevékenységet és tantárgyi fejlesztéseket is folytat, pályaválasztási, média-informatika, zenei és tánc foglalkozásokat biztosít, kirándulásokat és szülői klubokat szervez.",Szabolcs-Szatmár-Bereg,36 117 000,,Tiszavasvári
Svájci Magyar Civil és Ösztöndíj Alap,SMÖA-2012-0408,Hódmezővásárhelyi Integrált Szakképző Központ Szakiskola és Szakközépiskola,Klebelsberg Institution Maintenance Centre,Motiváció Ösztöndíjprogram,Motivation Scholarship Program,"The aim was to promote the success of disadvantaged students at school and to prevent them from dropping out by developing their basic learning skills (reading comprehension, learning strategies), motivation and social competence. It is also important to ease their transition from elementary to high school. These objectives are reached by involving teacher trainees, thus the Program has an impact on the Hungarian education system on the long run through actively contributing to the education of these future teachers. The target groups are disadvantaged students from high school and from 7 and 8 grades. Program elements: a network of mentors is being built from the teachers and teacher trainees supporting the objectives. Mentors receive training and continuous supervision. Mentors keep regular contact with mentored and their parents, they offer development courses, extracurricular activities and contribute to their individual development (career orientation, exploring talent development opportunities). Besides providing financial support in the form of regular scholarships, additional resources are made available to serve the individual needs of each student (financing sports activities, talent development, school supplies). Pontus Association is the main partner, due to its extensive experiences it is responsible for the arrangement and control of the mentoring work and for the training of the mentors. The other partner is SZISZSZ, which recruites the students in Szeged.","A projekt marginalizált helyzetű tanulók iskolai sikerességét, lemorzsolódásának megakadályozását kívánja elősegíteni a tanuláshoz szükséges eszköztudás, kiemelten a szövegértés és a tanulási stratégiák fejlesztésén, valamint a tanulási motiváció és a szociális kompetencia erősítésén keresztül. Kiemelt cél az általános iskola és középiskola közötti átmenet segítése. A projekt további célja, hogy a tanulók fejlesztését, motiválását részben pedagógusjelöltek, segítő hivatásra készülő hallgatók lássák el, így e tapasztalatok hosszú távon is hatást gyakorolhatnak a magyar közoktatásra a bevont hallgatók felkészítésével. A célcsoportot középiskolás, valamint 7-8. osztályos halmozottan hátrányos helyzetű tanulók jelentik. A kitűzött célok elérésére pályakezdő pedagógusokból, pedagógusjelöltekből álló mentorhálózatot hoznak létre. A mentorok felkészítésben és folyamatos szupervízióban részesülnek, rendszeresen találkoznak a tanulókkal, kapcsolatot tartanak a szülőkkel, fejlesztő foglalkozásokat tartanak, közösségi és szabadidős programokat szerveznek. A tanulók szükségleteinek megfelelően egyéb módokon hozzájárulnak a tanulók iskolai előmeneteléhez (pl. pályaorientáció, tehetségfejlesztést támogató lehetőségek feltárása). Emellett a tanulók ösztöndíjat kapnak, és tanulók egyéni szükségleteihez igazodóan (pl. sport, tehetséggondozás, tanszerek, tanfolyam, vizsgadíj) szabadon felhasználható forrást.",Csongrád,34 311 150,,Hódmezővásárhely
